"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10455","Проверить доступность контента для неавторизованного пользователя","unauthorized","Fri Aug 22 13:09:47 UTC 2025","passed","Fri Aug 22 13:09:58 UTC 2025","","tests/UI/unauthorized/subscriptions-page.spec.ts","",""
"","12450","Проверить список добавления контента для неавторизованного пользователя","unauthorized","Fri Aug 22 13:09:27 UTC 2025","passed","Fri Aug 22 13:09:39 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
"","1486","Получить todo по id","challenges-API","Fri Aug 22 13:10:12 UTC 2025","passed","Fri Aug 22 13:10:14 UTC 2025","","tests/API/challenges.spec.ts","",""
"","6805","Проверить лейаут таба - Главная","unauthorized","Fri Aug 22 13:08:47 UTC 2025","passed","Fri Aug 22 13:08:54 UTC 2025","","tests/UI/unauthorized/for-creators-page.spec.ts","",""
"","645","[GET] Hello c пустым name","learn-qa-API","Fri Aug 22 13:09:53 UTC 2025","passed","Fri Aug 22 13:09:54 UTC 2025","","tests/API/hello.spec.ts","",""
"","8396","Проверить лейаут таба - Монетизация","unauthorized","Fri Aug 22 13:09:09 UTC 2025","passed","Fri Aug 22 13:09:17 UTC 2025","","tests/UI/unauthorized/for-creators-page.spec.ts","",""
"","1452","Получить список выполненных заданий","challenges-API","Fri Aug 22 13:10:15 UTC 2025","passed","Fri Aug 22 13:10:16 UTC 2025","","tests/API/challenges.spec.ts","",""
"","1450","Получить список не выполненных заданий","challenges-API","Fri Aug 22 13:10:16 UTC 2025","passed","Fri Aug 22 13:10:18 UTC 2025","","tests/API/challenges.spec.ts","",""
"","1357","Запрещено удаление аккаунта","learn-qa-API","Fri Aug 22 13:10:04 UTC 2025","passed","Fri Aug 22 13:10:05 UTC 2025","Неавторизованный пользователь","tests/API/user.spec.ts","",""
"","684","[GET] Hello выводит переданный name","learn-qa-API","Fri Aug 22 13:09:52 UTC 2025","passed","Fri Aug 22 13:09:52 UTC 2025","","tests/API/hello.spec.ts","",""
"","1424","Создать todo","challenges-API","Fri Aug 22 13:10:19 UTC 2025","passed","Fri Aug 22 13:10:21 UTC 2025","","tests/API/challenges.spec.ts","",""
"","5635","Обновить данные своего аккаунта","learn-qa-API","Fri Aug 22 13:09:58 UTC 2025","passed","Fri Aug 22 13:10:04 UTC 2025","Авторизованный пользователь","tests/API/user.spec.ts","",""
"","7965","Проверить доступность элементов меню пользователя в хедере для авторизованного пользователя","authorized","Fri Aug 22 13:10:35 UTC 2025","passed","Fri Aug 22 13:10:43 UTC 2025","","tests/UI/authorized/main-page.spec.ts","",""
"","20961","Аутентификация","auth","Fri Aug 22 13:08:47 UTC 2025","passed","Fri Aug 22 13:09:08 UTC 2025","","tests/UI/auth.spec.ts","",""
"","12652","Проверить попап уведомлений для неавторизованного пользователя","unauthorized","Fri Aug 22 13:09:27 UTC 2025","passed","Fri Aug 22 13:09:39 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
"","827","[GET] Hello без name","learn-qa-API","Fri Aug 22 13:09:52 UTC 2025","passed","Fri Aug 22 13:09:53 UTC 2025","","tests/API/hello.spec.ts","",""
"","1437","Получить заголовки ответа","challenges-API","Fri Aug 22 13:10:18 UTC 2025","passed","Fri Aug 22 13:10:19 UTC 2025","","tests/API/challenges.spec.ts","",""
"","12608","Проверить доступность элементов развернутого меню для авторизованного пользователя","authorized","Fri Aug 22 13:10:23 UTC 2025","passed","Fri Aug 22 13:10:36 UTC 2025","","tests/UI/authorized/main-page.spec.ts","",""
"","8315","Проверить лейаут таба - Как развивать канал","unauthorized","Fri Aug 22 13:09:03 UTC 2025","passed","Fri Aug 22 13:09:11 UTC 2025","","tests/UI/unauthorized/for-creators-page.spec.ts","",""
"","7782","Проверить font-size кнопки ""Вход и регистрация""","unauthorized","Fri Aug 22 13:09:43 UTC 2025","passed","Fri Aug 22 13:09:51 UTC 2025","","tests/UI/unauthorized/main-page.spec.ts","",""
"","7031","Проверить лейаут таба - Правила","unauthorized","Fri Aug 22 13:09:11 UTC 2025","passed","Fri Aug 22 13:09:18 UTC 2025","","tests/UI/unauthorized/for-creators-page.spec.ts","",""
"","4319","Получить userId после логина","learn-qa-API","Fri Aug 22 13:09:54 UTC 2025","passed","Fri Aug 22 13:09:58 UTC 2025","Авторизованный пользователь","tests/API/user.spec.ts","",""
"","12796","Проверить доступность элементов попапа уведомлений для авторизованного пользователя","authorized","Fri Aug 22 13:10:23 UTC 2025","passed","Fri Aug 22 13:10:36 UTC 2025","","tests/UI/authorized/main-page.spec.ts","",""
"","9137","Проверить боковое меню для неавторизованного пользователя","unauthorized","Fri Aug 22 13:09:18 UTC 2025","passed","Fri Aug 22 13:09:27 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
"","14952","Проверить модальное окно авторизации для неавторизованного пользователя","unauthorized","Fri Aug 22 13:09:28 UTC 2025","passed","Fri Aug 22 13:09:43 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
"","1495","Получить список todo","challenges-API","Fri Aug 22 13:10:09 UTC 2025","passed","Fri Aug 22 13:10:11 UTC 2025","","tests/API/challenges.spec.ts","",""
"","1602","Получить список challenger","challenges-API","Fri Aug 22 13:10:06 UTC 2025","passed","Fri Aug 22 13:10:08 UTC 2025","","tests/API/challenges.spec.ts","",""
"","15631","Проверить лейаут категорий","unauthorized","Fri Aug 22 13:08:47 UTC 2025","passed","Fri Aug 22 13:09:03 UTC 2025","","tests/UI/unauthorized/categories-page.spec.ts","",""
"","4478","Запрещено удаление чужого аккаунта","learn-qa-API","Fri Aug 22 13:10:03 UTC 2025","passed","Fri Aug 22 13:10:08 UTC 2025","Авторизованный пользователь","tests/API/user.spec.ts","",""
"","11584","Проверить доступность элементов хедера для авторизованного пользователя","authorized","Fri Aug 22 13:10:23 UTC 2025","passed","Fri Aug 22 13:10:35 UTC 2025","","tests/UI/authorized/main-page.spec.ts","",""
"","10477","Переключить тему с темной на светлую","unauthorized","Fri Aug 22 13:10:10 UTC 2025","passed","Fri Aug 22 13:10:21 UTC 2025","","tests/UI/unauthorized/main-page.spec.ts","",""
"","5404","Проверить лейаут таба - Команда R","unauthorized","Fri Aug 22 13:09:15 UTC 2025","passed","Fri Aug 22 13:09:20 UTC 2025","","tests/UI/unauthorized/for-creators-page.spec.ts","",""
"","8423","Проверить развернутое меню для неавторизованного пользователя","unauthorized","Fri Aug 22 13:09:39 UTC 2025","passed","Fri Aug 22 13:09:47 UTC 2025","Доступность элементов","tests/UI/unauthorized/main-page.spec.ts","",""
